monitor_group_id,monitor_group_product,monitor_group_region
220682000079831001,Loyalty,India
220682000079831025,Loyalty,APAC2
220682000079831011,Loyalty,TATA
220682000079831035,Loyalty,EU
220682000079831045,Loyalty,US
220682000079831135,Insights,EU
220682000079831105,Insights,India
220682000079831115,Insights,APAC2
220682000079831125,Insights,TATA
220682000079831145,Insights,US
220682000079831065,Engage,India
220682000079831075,Engage,APAC2
220682000079831085,Engage,EU
220682000079831095,Engage,US
220682000079831055,Loyalty,USHC
220682000080426001,Rewards,EU
220682000080426011,Rewards,US
220682000081666001,CDP,INCRM (APAC1) - N Virgina AZ1
220682000081666011,CDP,INCRM (APAC1) - N Virgina AZ2
220682000081666021,CDP,INCRM (APAC1) - N Virgina AZ5
220682000081666031,CDP,EUCRM - Ireland AZ1
220682000081666041,CDP,EUCRM - Ireland AZ2
220682000081666051,CDP,ASIACRM (APAC2)- Mumbai AZ2
220682000081666061,CDP,ASIACRM (APAC2)- Mumbai AZ4
220682000081666071,CDP,ASIACRM (APAC2)- Mumbai AZ9
220682000081666081,CDP,TATACRM - Mumbai AZ1
220682000081666091,CDP,USCRM - Ohio AZ1
220682000081666101,CDP,USCRM - Ohio AZ2
220682000081666121,CDP,USCRM - Ohio AZ3
220682000081666111,CDP,USCRM - Ohio AZ5
220682000081666131,CDP,SEACRM- Singapore AZ1
220682000081666141,CDP,USHC (OPTUM) - N Virgina AZ1
220682000081666151,CDP,USHC (OPTUM) - N Virgina AZ2
220682000082052015,CDP,RCG
220682000082052080,CDP,Hertz
